allergy_id,allergy_name_vi,allergy_name_en,allergy_type,codex_priority,eu_14,canada_priority,severity_level,protein_allergen_main,notes
1,Sữa và các sản phẩm từ sữa,Milk and milk products,1,yes,yes,yes,high,"Casein, Whey (α-lactalbumin, β-lactoglobulin)","Từ bò, dê, cừu, trâu; có thể gặp trong 90% thực phẩm chế biến sẵn[1]"
2,Trứng và các sản phẩm trứng,Eggs and egg products,2,yes,yes,yes,high,"Ovalbumin, Ovomucoid, Ovotransferrin, Lysozyme",Có thể ở dạng nấu chín hoặc sống; ảnh hưởng ~1.5-2.5% trẻ em < 3 tuổi[2]
3,Cá và sản phẩm cá,Fish and fish products,3,yes,yes,yes,very_high,Parvalbumin,"Bao gồm cá neu, hồi, tôm, cá hồi, cá thu; thường gây phản vệ nặng; cross-react cao giữa các loài cá[3]"
4,"Giáp xác (tôm, cua, crayfish, langoustine)","Crustaceans (shrimp, crab, crayfish, langoustine, lobster, prawn, scampi)",4,yes,yes,yes,very_high,Tropomyosin,"Giáp xác như tôm, cua; cross-react với nhuyễn thể & côn trùng via tropomyosin[4]"
5,Lạc/đậu phộng,Peanuts,5,yes,yes,yes,very_high,"Ara h 1, Ara h 2, Ara h 3 (legumins, 2S albumins)",Họ đậu (không phải hạt); gây dị ứng 0.1-1.8% dân số; cross-react với lupin (40-80%)[5]
6,Đậu nành,Soybean,6,yes,yes,yes,medium,"Gly m 5, Gly m 6 (proteins), 2S albumin",Phổ biến trong đồ chế biến sẵn; cross-react với lạc/quả hạch via 2S albumin[6]
7,"Quả hạch (Almond, Hazelnut, Walnut, Cashew, Pecan, Pistachio, Macadamia, Brazil nut, Shea nut)","Tree nuts (Almond, Hazelnut, Walnut, Cashew, Pecan, Pistachio, Macadamia, Brazil nut, Shea nut)",8,yes,yes,yes,very_high,"Vicilins, Legumins (11S globulins), 2S albumins, Lipid Transfer Proteins",Cross-react cao (>50% giữa cashew-pistachio); chiếm 1/3 phản vệ anaphylaxis do thực phẩm[7]
8,"Ngũ cốc chứa gluten (Lúa mì, Lúa mạch, Lúa mạch đen, Triticale)","Cereals with gluten (Wheat, Barley, Rye, Triticale)",9,yes,yes,yes,medium,"Gluten (gliadin + glutenin), albumin, globulin, α-amylase inhibitor, ω-5 gliadin (WDEIA)","Phổ biến trong bánh mì, mì ống; khác với bệnh celiac; chỉ 0.4% trẻ em dị ứng[8]"
9,Sunfit/Sulfur dioxide và sulfites (≥ 10 mg/kg),Sulphur dioxide and sulphites (≥ 10 mg/kg),10,no,yes,no,medium,"Sulphur dioxide (SO₂), sulfites salts (E220-E228, E150b, E150d)","Bảo quản; từ lên men (rượu, nước quả); gây phản ứng qua đường hô hấp[9]"
10,Cần tây,Celery,11,no,yes,no,medium,Celery allergen Api g 1 (pathogenesis-related protein PR-1),"Sống/nấu chín; trong gia vị, nước dùng, stock cube; cross-react với hạt nhân[10]"
11,Mù tạt,Mustard,12,no,yes,yes,medium,"Sinapis alba allergen Sin a 1, Sin a 2 (2S albumin storage protein)","Trắng, đen, nâu; trong sốt, gia vị, xúc xích; cross-react với lạc[11]"
12,Vừng/Mè (Sesame seeds),Sesame seeds,13,no,yes,yes,medium,"Ses i 1, Ses i 2, Ses i 3, Ses i 4 (11S globulins, 2S albumins)","Thêm vào Codex gần đây; tahini, hummus, bánh mì; 2S albumin cross-react với lạc/mù tạt[12]"
13,Lupin (Đậu Lupin),Lupin,14,no,yes,no,medium,"Conglutin alpha/beta/gamma (11S globulins, 2S albumins)",Họ đậu; tăng trong bột gluten-free; cross-react lạc 40-80%; Lup a 1 giống Ara h 1[13]
14,"Nhuyễn thể (Molluscs: Octopus, Clam, Cockle, Mussel, Oyster, Periwinkle, Scallop, Snail, Squid, Whelks)","Molluscs (Octopus, Clam, Cockle, Mussel, Oyster, Periwinkle, Scallop, Snail, Squid, Whelks)",15,no,yes,no,high,"Tropomyosin, NPC2 family proteins, arginine kinase",Khác cá/giáp xác; cross-react cao với giáp xác & côn trùng via tropomyosin[14]
15,Lúa mạch (Buckwheat) - không chứa gluten thực sự,Buckwheat (pseudocereal),16,no,no,no,low,"Fag e 1, Fag e 2 (2S albumin)",Pseudocereal; cross-react với lạc via 2S albumin; phổ biến ở Á Đông[15]
16,Kiwi,Kiwi fruit,17,no,no,no,medium,"Act d 1, Act d 2, Act d 3, Act d 5 (cysteine proteases, thaumatin-like proteins)",Cross-react với phấn cây (oral allergy syndrome); 30-50% kiwi-allergic có dị ứng pollen birch[16]
17,Mầm lúa mị/Wheatgerm,Wheat germ,18,no,no,no,medium,"α-amylase inhibitor, lipid transfer protein (LTP)",Từ lúa mì non; cross-react với gluten & pollen via LTP[17]
18,"Côn trùng (Cricket, Mealworm, Grasshopper) - Protein thay thế","Insects (Cricket, Mealworm, Grasshopper)",19,no,no,no,medium,"Tropomyosin, arginine kinase, myosin light chain",Cross-react cao với tôm/cua via tropomyosin; 50-80% tôm-allergic dị ứng côn trùng[18]
19,"Hạt nhân pollen (Hazelnut pollen, Birch pollen) - OAS","Tree nuts cross-reactors (Hazelnut pollen, Birch pollen related)",20,no,no,no,low,Pathogenesis-related protein PR-10 (Bet v 1 homologs),OAS; sống chỉ; nấu chín hết; phổ biến ở châu Âu; cross-react pollenosis[19]
20,Dưa (Melon/Cucumber) - OAS related,Melon and cucumber,21,no,no,no,low,"Profilin, PR-10 proteins","OAS; cross-react với pollen grass; thường nhẹ, sống chỉ; nấu chín hết[20]"
