id,nameVi,nameEn,categoryName,categoryNameEn,kcal,protein,fat,carb,vitaminC,vitaminA,calcium,iron,potassium,sodium,zinc,magnesium,fiber,cholesterol,mufaPufa,transfat,betaCaroten
69364dc9ddbd6da9a30c3ef2,Gà tần,Stewed chicken,Các món khác,Other food dishes,297.4,28.9,15.1,11.4,6.6,10.0,157.9,4.8,,2242.9,1.1,74.1,,,,,30.6
69364d0a17309efd3d0e2d94,Gà tần,Stewed chicken,Các món khác,Other food dishes,151.8,24.9,5.4,0.9,5.3,9.7,42.0,0.8,,1733.0,0.8,1.1,,1.3,,,24.2
69364c92c604085c15064fd2,Gà tần,Stewed chicken,Các món khác,Other food dishes,337.8,35.5,15.8,13.5,10.5,13.3,408.1,9.9,,1427.1,1.0,173.2,,1.5,,,54.3
69364c0d621acdc3520bbae2,Gà tần,Stewed chicken,Các món khác,Other food dishes,344.6,35.6,16.0,14.7,,13.7,418.1,10.2,,1366.0,1.1,174.3,,1.2,,,64.1
69364a937e040380420583d3,Chim quay,Roasted bird,Các món khác,Other food dishes,434.9,71.5,71.5,3.4,35.6,64.9,46.2,15.0,,177.1,8.9,86.7,,229.3,,,102.8
693649f72119924e3f0bddd3,Sò huyết nướng,Grilled blood cockles,"Ngao, ốc","Clams, snails",414.0,68.7,3.7,26.4,9.0,6.9,155.1,82.5,,7.5,,3.6,,,,,77.1
693648432119924e3f0bddd2,Ốc hương xào sốt bơ,Stir-fried sweet snails with butter sauce,"Ngao, ốc","Clams, snails",284.7,9.3,20.7,15.3,,0.7,41.1,0.3,1.0,1225.3,2.6,29.2,,,11.2,,
693647f89ad194e22e060a34,Ốc đĩa luộc mắm,Boiled dish snails with fish sauce,"Ngao, ốc","Clams, snails",185.1,29.9,1.1,13.9,15.0,15.9,4389.3,0.3,,11.3,0.1,5.8,,,,,181.7
6936450ddee81bef1000a102,Ốc bé hấp,Steamed small snails,"Ngao, ốc","Clams, snails",232.4,36.7,2.1,16.7,6.2,0.4,38.2,0.1,,680.7,3.0,16.2,,,,,0.5
693644b47e040380420583d2,Ngao trắng hấp,Steamed white clams,"Ngao, ốc","Clams, snails",226.2,27.5,2.2,24.1,6.2,0.4,593.5,0.1,,680.7,,16.2,,,,,0.5
69364431f7af9e81160ebdd2,Ngao hoa hấp sả,Steamed venus clams with lemongrass,"Ngao, ốc","Clams, snails",486.2,37.5,14.6,51.2,19.4,48.8,1520.9,11.0,,1658.9,2.0,81.7,,,,,593.1
693643c563a581f3c80c82e5,Hàu nướng mọi (10 con),Grilled oysters (10 pieces),"Ngao, ốc","Clams, snails",152.1,17.7,5.3,8.4,,21.6,97.8,97.8,,140.9,65.2,,,29.8,,,
6936435733d7a9f441076382,Trà hoa cúc,Chrysanthemum tea,Giải khát,Drinks,19.4,0.2,,4.7,8.6,1.7,26.2,0.1,,,,,,,,,1.7
693642c4143b8b6d2d0aa0f3,Trà cúc táo đỏ,Chrysanthemum tea with red dates,Giải khát,Drinks,20.3,0.1,,5.0,5.1,0.8,15.2,,,0.2,,0.5,,,,,9.3
6936426d837c3e386d0a2ae3,Thạch găng,Grass jelly,Giải khát,Drinks,175.5,5.9,0.3,37.3,,,268.0,2.8,,27.9,1.8,207.7,,,,,
6936422e6bf00808f707b393,Tào phớ caramen,Caramel tofu pudding,Giải khát,Drinks,174.0,7.5,2.7,29.9,,,236.2,1.1,,66.3,0.3,76.4,,,,,
693641e917309efd3d0e2d92,Tào phớ,Tofu pudding,Giải khát,Drinks,257.5,6.4,2.9,51.5,,,172.9,2.1,,27.5,0.6,59.4,,,,,
693641a0d8b39b9c6d042da5,Sữa ngô,Corn milk,Giải khát,Drinks,123.8,4.3,2.5,21.0,,,148.2,,,,0.6,0.6,,,,,
693641426bf00808f707b392,Sữa chua lá nếp,Pandan yogurt,Giải khát,Drinks,284.2,10.1,8.1,42.8,1.4,51.8,255.0,0.7,,93.3,2.1,31.1,,26.0,,,22.0
693640ebbbd0694aee05f367,Sữa chua gạo tím,Purple rice yogurt,Giải khát,Drinks,301.8,10.5,8.6,45.6,1.4,51.8,250.6,1.8,,92.9,1.2,24.0,,26.0,,,38.6
