id,nameVi,nameEn,categoryName,categoryNameEn,kcal,protein,fat,carb,vitaminC,vitaminA,calcium,iron,potassium,sodium,zinc,magnesium,fiber,cholesterol,transfat,betaCaroten
6877a6b660d6c84e9bd5cca4,Sữa bò tươi,"Milk cow, fresh (Fluid)",Sữa và sản phẩm chế biến,Milk and processed products,74.0,3.9,4.4,4.8,1.0,51.83,111.33,0.09,132.67,352.54,0.37,14.84,,,,22.0
6877a6b660d6c84e9bd5cca5,Sữa dê tươi,Milk goat's whole,Sữa và sản phẩm chế biến,Milk and processed products,69.0,3.5,4.1,4.5,3.0,51.67,147.0,0.1,204.0,50.0,0.3,14.0,,,,20.0
6877a6b660d6c84e9bd5cca6,Sữa mẹ (sữa người),"Breast milk (Milk human, fluid, whole).",Sữa và sản phẩm chế biến,Milk and processed products,61.0,1.5,3.0,7.0,6.0,90.08,34.0,0.1,41.0,15.0,0.4,2.0,,,,1.0
6877a6b660d6c84e9bd5cca7,Sữa chua,Yogurt,Sữa và sản phẩm chế biến,Milk and processed products,61.0,3.3,3.7,3.6,0.7,25.92,120.0,0.1,155.0,46.0,0.59,12.0,,,,11.0
6877a6b660d6c84e9bd5cca8,Sữa chua vớt béo,Yogurt (Skimmed milk),Sữa và sản phẩm chế biến,Milk and processed products,26.0,3.4,,3.1,1.35,4.0,143.0,0.06,173.21,68.98,0.58,20.44,,,,
6877a6b660d6c84e9bd5cca9,Sữa bột toàn phần,"Milk, dried, whole powder",Sữa và sản phẩm chế biến,Milk and processed products,494.0,27.0,26.0,38.0,10.0,321.91,939.0,0.47,1330.0,371.0,3.34,85.0,,,,43.0
6877a6b660d6c84e9bd5ccaa,Sữa bột tách béo,Skimmed milk powder,Sữa và sản phẩm chế biến,Milk and processed products,357.0,35.0,1.0,52.0,6.0,6.08,1246.0,0.45,1794.0,535.0,4.08,110.0,,,,1.0
6877a6b660d6c84e9bd5ccab,Sữa đặc có đường Việt Nam,Milk condensed sweetened,Sữa và sản phẩm chế biến,Milk and processed products,336.0,8.1,8.8,56.0,,62.17,307.0,0.6,,,,,,,,50.0
6877a6b660d6c84e9bd5ccac,Phó mát,Cheese (type whole fat),Sữa và sản phẩm chế biến,Milk and processed products,380.0,25.5,30.9,,0.5,284.83,760.0,0.5,98.0,621.0,3.11,28.0,,,,118.0
6877a6b660d6c84e9bd5cac3,"Gạo, trắng, nếp cái, sống","Rice, white, glutinous, raw",Ngũ cốc và sản phẩm chế biến,Cereals and processed products,348.0,8.6,1.5,75.1,,,32.0,1.2,282.0,3.0,2.2,17.0,0.6,,,
